Time,Tobii_Timestamp,GlobalDominantHand_Rotation_X,GlobalDominantHand_Rotation_Y,GlobalDominantHand_Rotation_Z,GlobalDominantHand_Position_X,GlobalDominantHand_Position_Y,GlobalDominantHand_Position_Z,GlobalNonDominantHand_Rotation_X,GlobalNonDominantHand_Rotation_Y,GlobalNonDominantHand_Rotation_Z,GlobalNonDominantHand_Position_X,GlobalNonDominantHand_Position_Y,GlobalNonDominantHand_Position_Z,LocalDominantHand_Rotation_X,LocalDominantHand_Rotation_Y,LocalDominantHand_Rotation_Z,LocalDominantHand_Position_X,LocalDominantHand_Position_Y,LocalDominantHand_Position_Z,LocalNonDominantHand_Rotation_X,LocalNonDominantHand_Rotation_Y,LocalNonDominantHand_Rotation_Z,LocalNonDominantHand_Position_X,LocalNonDominantHand_Position_Y,LocalNonDominantHand_Position_Z,Camera_Rotation_X,Camera_Rotation_Y,Camera_Rotation_Z,Camera_Position_X,Camera_Position_Y,Camera_Position_Z,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Position_X,Head_Position_Y,Head_Position_Z,Eye_GazePosition_Left_Position_X,Eye_GazePosition_Left_Position_Y,Eye_GazePosition_Left_Position_Z,Eye_GazePosition_Right_Position_X,Eye_GazePosition_Right_Position_Y,Eye_GazePosition_Right_Position_Z,Eye_GazeDirection_Left_Position_X,Eye_GazeDirection_Left__Position_Y,Eye_GazeDirection_Left__Position_Z,Eye_GazeDirection_Right_Position_X,Eye_GazeDirection_Right__Position_Y,Eye_GazeDirection_Right__Position_Z,CombinedGazeRayWorld_Eye_Direction_X,CombinedGazeRayWorld_Eye_Direction_Y,CombinedGazeRayWorld_Eye_Direction_Z,CombinedGazeRayWorld_Eye_Position_X,CombinedGazeRayWorld_Eye_Position_Y,CombinedGazeRayWorld_Eye_Position_Z,PupilDiameter_Left,PupilDiameter_Right,PupilPositionInTrackingArea_Left_X,PupilPositionInTrackingArea_Left_Y,PupilPositionInTrackingArea_Right_X,PupilPositionInTrackingArea_Right_Y,UserAreaInput
0,57790569644,-0.3474734,0.3337343,0.04693046,-0.2665123,1.200573,0.04821992,-0.2624544,0.2272368,0.0488342,-0.4055161,1.098228,0.1256292,-0.3474734,0.3337343,0.04693046,-0.2665123,1.200573,0.04821992,-0.2624544,0.2272368,0.0488342,-0.4055161,1.098228,0.1256292,0.009827046,0.2235391,-0.05286776,-0.499001,1.569491,-0.1618342,0.00973329,0.2240032,-0.05301326,-0.4929672,1.568877,-0.1487325,-0.03179669,-0.000699707,-0.02683803,0.03223291,0.0002909699,-0.02519777,0.0987854,-0.2226715,0.9698639,-0.0259552,-0.2325592,0.972229,0.4312577,-0.2718835,0.8602884,-0.5041099,1.569764,-0.1722288,0.002793182,0.002712112,0.5260437,0.6716421,0.497629,0.6313906,
0,57790577976,-0.3474734,0.3337343,0.04693046,-0.2665123,1.200573,0.04821992,-0.2624544,0.2272368,0.0488342,-0.4055161,1.098228,0.1256292,-0.3474734,0.3337343,0.04693046,-0.2665123,1.200573,0.04821992,-0.2624544,0.2272368,0.0488342,-0.4055161,1.098228,0.1256292,0.009827046,0.2235391,-0.05286776,-0.499001,1.569491,-0.1618342,0.009767368,0.2239617,-0.05303957,-0.4928949,1.56887,-0.148657,-0.03179523,-0.0006919708,-0.02687202,0.0322327,0.0003011017,-0.02524464,0.09848022,-0.2220306,0.970047,-0.02522278,-0.2321014,0.9723511,0.4314681,-0.2714272,0.860327,-0.5040516,1.569769,-0.1721909,0.002798401,0.00271106,0.5260392,0.67165,0.4977198,0.6314577,
0.1192627,57790586307,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,0.009767119,0.2233691,-0.05279073,-0.4989176,1.569467,-0.1617063,0.009804616,0.2239031,-0.05304983,-0.4928257,1.568872,-0.1485929,-0.03179362,-0.0006843109,-0.02690442,0.0322327,0.0003102112,-0.02528612,0.09886169,-0.2212372,0.9701843,-0.02459717,-0.2318573,0.9724274,0.4319036,-0.2710322,0.8602331,-0.5039939,1.569782,-0.1721617,0.0027995,0.002708069,0.526135,0.6716278,0.4978017,0.6315454,
0.1192627,57790594639,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,0.009767119,0.2233691,-0.05279073,-0.4989176,1.569467,-0.1617063,0.009783867,0.223844,-0.052969,-0.4927664,1.568858,-0.1485213,-0.03179199,-0.0006763916,-0.0269368,0.03223297,0.0003180847,-0.02532272,0.09980774,-0.2207642,0.9701996,-0.02366638,-0.2311707,0.9726105,0.4327896,-0.27047,0.8599646,-0.5039452,1.569775,-0.172123,0.002802597,0.002702713,0.5263063,0.6716363,0.4979312,0.6315463,
0.1192627,57790602970,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,0.009767119,0.2233691,-0.05279073,-0.4989176,1.569467,-0.1617063,0.009778314,0.2237522,-0.05288212,-0.4926975,1.568847,-0.1484506,-0.03179027,-0.0006708832,-0.02696091,0.03223372,0.0003241425,-0.02535203,0.099823,-0.2203674,0.9702911,-0.02272034,-0.2305298,0.9727936,0.4332027,-0.2699378,0.8599238,-0.5038818,1.56977,-0.172079,0.002800644,0.002702133,0.5263649,0.6716469,0.4980829,0.6315514,
0.1192627,57790611302,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,0.009767119,0.2233691,-0.05279073,-0.4989176,1.569467,-0.1617063,0.009830554,0.2236136,-0.05285828,-0.4926022,1.568854,-0.1483923,-0.03178797,-0.0006635132,-0.02699026,0.03223617,0.0003214417,-0.02534233,0.1006622,-0.2198334,0.9703217,-0.02276611,-0.230957,0.9726868,0.4333188,-0.2700044,0.8598444,-0.5037816,1.569781,-0.1720338,0.002804184,0.00269751,0.5265439,0.6716357,0.4981546,0.6316085,
0.1192627,57790619633,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,0.009767119,0.2233691,-0.05279073,-0.4989176,1.569467,-0.1617063,0.009827846,0.2235561,-0.05286561,-0.4925156,1.568851,-0.148349,-0.03178535,-0.0006565704,-0.02701836,0.03223873,0.0003184204,-0.02533244,0.1012268,-0.2194672,0.9703369,-0.02204895,-0.2315826,0.9725494,0.4337506,-0.2701884,0.859569,-0.5036936,1.56978,-0.1720011,0.002803574,0.002694107,0.5267039,0.6716557,0.4983289,0.6316951,
0.1192627,57790627965,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,0.009767119,0.2233691,-0.05279073,-0.4989176,1.569467,-0.1617063,0.009827046,0.2235391,-0.05286776,-0.4924901,1.568849,-0.1483362,-0.03178322,-0.0006509094,-0.02704091,0.03223979,0.0003235626,-0.02535873,0.1017914,-0.2196045,0.9702454,-0.02127075,-0.2310486,0.972702,0.434351,-0.270053,0.8593082,-0.5036758,1.569785,-0.1720114,0.00280629,0.002703552,0.5268456,0.671729,0.49848,0.6317107,
0.1192627,57790636296,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,-0.3503282,0.3318626,0.05096263,-0.2671262,1.20139,0.0491547,-0.2626113,0.2277352,0.04849912,-0.4035239,1.099073,0.1265701,0.009767119,0.2233691,-0.05279073,-0.4989176,1.569467,-0.1617063,0.009827046,0.2235391,-0.05286776,-0.4924901,1.568849,-0.1483362,-0.03178081,-0.0006455994,-0.02706183,0.03224097,0.000328598,-0.0253833,0.1025238,-0.2193146,0.9702454,-0.02070618,-0.2312469,0.9726563,0.4349298,-0.2700721,0.8590094,-0.5036835,1.569791,-0.1720327,0.002809616,0.00270137,0.5270159,0.6717398,0.4985925,0.6318309,
0.1657715,57790644628,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009815861,0.2235074,-0.05285339,-0.4924754,1.568845,-0.1483119,-0.03177826,-0.0006413727,-0.02707837,0.0322422,0.0003334808,-0.02540637,0.1028137,-0.2189636,0.9702911,-0.02023315,-0.2310486,0.9727173,0.4352755,-0.2698062,0.8589178,-0.5036737,1.569791,-0.1720278,0.002806595,0.002707626,0.5271438,0.6717215,0.4987043,0.6318718,
